cat,cat_lab,count,percentage,measure,n_responses,site,year_group_lab,gender_lab,fsm_lab,sen_lab,group,measure_lab
"[1, 2, 3, 4, nan]","['None ', 'Limited', 'Several', 'Lots', 'No response']","[104, 109, 92, 101, 10]","[25.0, 26.201923076923077, 22.115384615384613, 24.278846153846153, 2.403846153846154]",places_freq,416.0,Northern Devon,Year 8,All,All,All,places,"
How many activities/places are there in your local area, that you choose to or
would want to go to in your free time?"
"[0, 1, nan]","['No', 'Yes', 'No response']","[197, 195, 24]","[47.355769230769226, 46.875, 5.769230769230769]",places_barriers___1,416.0,Northern Devon,Year 8,All,All,All,places,"
There's nothing to do"
"[0, 1, nan]","['No', 'Yes', 'No response']","[188, 204, 24]","[45.19230769230769, 49.03846153846153, 5.769230769230769]",places_barriers___2,416.0,Northern Devon,Year 8,All,All,All,places,"
I'm unable to get there and back"
"[0, 1, nan]","['No', 'Yes', 'No response']","[218, 174, 24]","[52.40384615384615, 41.82692307692308, 5.769230769230769]",places_barriers___3,416.0,Northern Devon,Year 8,All,All,All,places,"
It's too expensive (to get there or take part)"
"[0, 1, nan]","['No', 'Yes', 'No response']","[208, 184, 24]","[50.0, 44.230769230769226, 5.769230769230769]",places_barriers___4,416.0,Northern Devon,Year 8,All,All,All,places,"
Poor weather"
"[0, 1, nan]","['No', 'Yes', 'No response']","[216, 176, 24]","[51.92307692307693, 42.30769230769231, 5.769230769230769]",places_barriers___5,416.0,Northern Devon,Year 8,All,All,All,places,"
I have no-one to go with"
"[0, 1, nan]","['No', 'Yes', 'No response']","[204, 188, 24]","[49.03846153846153, 45.19230769230769, 5.769230769230769]",places_barriers___6,416.0,Northern Devon,Year 8,All,All,All,places,"
It's too busy"
"[0, 1, nan]","['No', 'Yes', 'No response']","[202, 190, 24]","[48.55769230769231, 45.67307692307692, 5.769230769230769]",places_barriers___7,416.0,Northern Devon,Year 8,All,All,All,places,"
I feel uncomfortable/anxious about other people who might be there"
"[0, 1, nan]","['No', 'Yes', 'No response']","[209, 183, 24]","[50.24038461538461, 43.99038461538461, 5.769230769230769]",places_barriers___8,416.0,Northern Devon,Year 8,All,All,All,places,"
My parents/carers don't allow me to go"
"[0, 1, nan]","['No', 'Yes', 'No response']","[210, 182, 24]","[50.480769230769226, 43.75, 5.769230769230769]",places_barriers___9,416.0,Northern Devon,Year 8,All,All,All,places,"
Other"
"[1, 2, 3, 4, 5, nan]","['Not at all', 'A little', 'Somewhat', 'Quite a bit', 'A lot', 'No response']","[88, 73, 69, 63, 76, 47]","[21.153846153846153, 17.548076923076923, 16.58653846153846, 15.144230769230768, 18.269230769230766, 11.298076923076923]",school_belong,416.0,Northern Devon,Year 8,All,All,All,school_belong,"
I feel that I belong/belonged at my school"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[69, 75, 99, 78, 91, 4]","[16.58653846153846, 18.028846153846153, 23.798076923076923, 18.75, 21.875, 0.9615384615384616]",staff_interest,416.0,Northern Devon,Year 8,All,All,All,staff_relationship,"
At school there is an adult who... is interested in my schoolwork"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[81, 99, 86, 70, 76, 4]","[19.471153846153847, 23.798076923076923, 20.673076923076923, 16.826923076923077, 18.269230769230766, 0.9615384615384616]",staff_believe,416.0,Northern Devon,Year 8,All,All,All,staff_relationship,"
At school there is an adult who... believes that I will be a success"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[93, 72, 67, 67, 76, 41]","[22.355769230769234, 17.307692307692307, 16.105769230769234, 16.105769230769234, 18.269230769230766, 9.85576923076923]",staff_best,416.0,Northern Devon,Year 8,All,All,All,staff_relationship,"
At school there is an adult who... wants me to do my best"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[78, 66, 77, 84, 94, 17]","[18.75, 15.865384615384615, 18.509615384615387, 20.192307692307693, 22.596153846153847, 4.086538461538462]",staff_listen,416.0,Northern Devon,Year 8,All,All,All,staff_relationship,"
At school there is an adult who... listens to me when I have something to
say"
"[0, 1, nan]","['No', 'Yes', 'No response']","[156, 208, 52]","[37.5, 50.0, 12.5]",staff_talk,416.0,Northern Devon,Year 8,All,All,All,talk,"
Talked about feeling down with... an adult at school"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[51, 50, 43, 53, 11]","[24.519230769230766, 24.03846153846154, 20.673076923076923, 25.48076923076923, 5.288461538461538]",staff_talk_listen,208.0,Northern Devon,Year 8,All,All,All,talk,"
Did you feel listened to when you spoke with... an adult at school"
"[1, 2, 3, nan]","['Not helpful', 'Somewhat helpful', 'Very helpful', 'No response']","[69, 66, 71, 2]","[33.17307692307692, 31.73076923076923, 34.13461538461539, 0.9615384615384616]",staff_talk_helpful,208.0,Northern Devon,Year 8,All,All,All,talk,"
Did you receive advice that you found helpful from... an adult at school"
"[1, 2, 3, 4, nan]","['Very uncomfortable', 'Uncomfortable', 'Comfortable', 'Very comfortable', 'No response']","[45, 33, 29, 41, 8]","[28.846153846153843, 21.153846153846153, 18.58974358974359, 26.282051282051285, 5.128205128205128]",staff_talk_if,156.0,Northern Devon,Year 8,All,All,All,talk,"
How would you feel about speaking with... an adult at school"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[100, 98, 108, 103, 7]","[24.03846153846154, 23.557692307692307, 25.961538461538463, 24.759615384615387, 1.6826923076923077]",accept_staff,416.0,Northern Devon,Year 8,All,All,All,accept,"
Adults at your school"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[75, 70, 72, 94, 81, 24]","[18.028846153846153, 16.826923076923077, 17.307692307692307, 22.596153846153847, 19.471153846153847, 5.769230769230769]",home_interest,416.0,Northern Devon,Year 8,All,All,All,home_relationship,"
At home there is an adult who... is interested in my schoolwork"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[92, 82, 83, 61, 76, 22]","[22.115384615384613, 19.71153846153846, 19.951923076923077, 14.663461538461538, 18.269230769230766, 5.288461538461538]",home_believe,416.0,Northern Devon,Year 8,All,All,All,home_relationship,"
At home there is an adult who... believes that I will be a success"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[77, 80, 74, 71, 83, 31]","[18.509615384615387, 19.230769230769234, 17.78846153846154, 17.067307692307693, 19.951923076923077, 7.451923076923077]",home_best,416.0,Northern Devon,Year 8,All,All,All,home_relationship,"
At home there is an adult who... wants me to do my best"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[77, 71, 72, 71, 87, 38]","[18.509615384615387, 17.067307692307693, 17.307692307692307, 17.067307692307693, 20.91346153846154, 9.134615384615383]",home_listen,416.0,Northern Devon,Year 8,All,All,All,home_relationship,"
At home there is an adult who... listens to me when I have something to say"
"[0, 1, nan]","['No', 'Yes', 'No response']","[203, 190, 23]","[48.79807692307692, 45.67307692307692, 5.528846153846153]",home_talk,416.0,Northern Devon,Year 8,All,All,All,talk,"
Talked about feeling down with... one of your parents/carers"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[36, 49, 50, 47, 8]","[18.947368421052634, 25.789473684210527, 26.31578947368421, 24.736842105263158, 4.2105263157894735]",home_talk_listen,190.0,Northern Devon,Year 8,All,All,All,talk,"
Did you feel listened to when you spoke with... one of your parents/carers"
"[1, 2, 3, nan]","['Not helpful', 'Somewhat helpful', 'Very helpful', 'No response']","[70, 43, 64, 13]","[36.84210526315789, 22.63157894736842, 33.68421052631579, 6.842105263157896]",home_talk_helpful,190.0,Northern Devon,Year 8,All,All,All,talk,"
Did you receive advice that you found helpful from... one of your
parents/carers"
"[1, 2, 3, 4, nan]","['Very uncomfortable', 'Uncomfortable', 'Comfortable', 'Very comfortable', 'No response']","[42, 46, 54, 52, 9]","[20.689655172413794, 22.660098522167488, 26.60098522167488, 25.615763546798032, 4.433497536945813]",home_talk_if,203.0,Northern Devon,Year 8,All,All,All,talk,"
How would you feel about speaking with... one of your parents/carers"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[101, 109, 101, 86, 19]","[24.278846153846153, 26.201923076923077, 24.278846153846153, 20.673076923076923, 4.567307692307692]",accept_home,416.0,Northern Devon,Year 8,All,All,All,accept,"
Your parents/carers"
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, nan]","['0 - Very unhappy', '1', '2', '3', '4', '5 - Not happy or unhappy', '6', '7', '8', '9', '10 - Very happy', 'No response']","[42, 30, 27, 45, 24, 28, 40, 31, 31, 38, 32, 48]","[10.096153846153847, 7.211538461538461, 6.490384615384616, 10.817307692307693, 5.769230769230769, 6.730769230769231, 9.615384615384617, 7.451923076923077, 7.451923076923077, 9.134615384615383, 7.6923076923076925, 11.538461538461538]",home_happy,416.0,Northern Devon,Year 8,All,All,All,home_happy,"
How happy are you with the home that you live in?"
"[1, 2, 3, 4, 5, nan]","['Very safe', 'Fairly safe', 'Fairly unsafe', 'Very unsafe', ""Don't know"", 'No response']","[75, 68, 85, 74, 71, 43]","[18.028846153846153, 16.346153846153847, 20.432692307692307, 17.78846153846154, 17.067307692307693, 10.336538461538462]",local_safe,416.0,Northern Devon,Year 8,All,All,All,local_env,"
How safe do you feel when in your local area?"
"[1, 2, 3, 4, 5, nan]","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', 'No response']","[76, 78, 65, 64, 88, 45]","[18.269230769230766, 18.75, 15.625, 15.384615384615385, 21.153846153846153, 10.817307692307693]",local_support,416.0,Northern Devon,Year 8,All,All,All,local_env,"
People around here support each other with their wellbeing"
"[1, 2, 3, 4, 5, nan]","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', 'No response']","[85, 83, 75, 95, 75, 3]","[20.432692307692307, 19.951923076923077, 18.028846153846153, 22.83653846153846, 18.028846153846153, 0.7211538461538461]",local_trust,416.0,Northern Devon,Year 8,All,All,All,local_env,"
You can trust people around here"
"[1, 2, 3, 4, 5, nan]","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', 'No response']","[74, 78, 77, 71, 79, 37]","[17.78846153846154, 18.75, 18.509615384615387, 17.067307692307693, 18.990384615384613, 8.89423076923077]",local_neighbours,416.0,Northern Devon,Year 8,All,All,All,local_env,"
I could ask for help or a favour from neighbours"
"[1, 2, 3, 4, 5, nan]","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', 'No response']","[83, 77, 65, 81, 61, 49]","[19.951923076923077, 18.509615384615387, 15.625, 19.471153846153847, 14.663461538461538, 11.778846153846153]",local_places,416.0,Northern Devon,Year 8,All,All,All,local_env,"
There are good places to spend your free time (e.g., leisure centres, parks,
shops)"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[83, 82, 84, 73, 83, 11]","[19.951923076923077, 19.71153846153846, 20.192307692307693, 17.548076923076923, 19.951923076923077, 2.644230769230769]",discrim_race,416.0,Northern Devon,Year 8,All,All,All,discrim,"
How often do people make you feel bad because of... your race, skin colour or
where you were born?"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[77, 66, 88, 77, 70, 38]","[18.509615384615387, 15.865384615384615, 21.153846153846153, 18.509615384615387, 16.826923076923077, 9.134615384615383]",discrim_gender,416.0,Northern Devon,Year 8,All,All,All,discrim,"
How often do people make you feel bad because of... your gender?"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[80, 67, 79, 73, 75, 42]","[19.230769230769234, 16.105769230769234, 18.990384615384613, 17.548076923076923, 18.028846153846153, 10.096153846153847]",discrim_orientation,416.0,Northern Devon,Year 8,All,All,All,discrim,"
How often do people make you feel bad because of... your sexual
orientation?"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[92, 81, 78, 76, 74, 15]","[22.115384615384613, 19.471153846153847, 18.75, 18.269230769230766, 17.78846153846154, 3.6057692307692304]",discrim_disability,416.0,Northern Devon,Year 8,All,All,All,discrim,"
How often do people make you feel bad because of... disability?"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[85, 80, 86, 73, 79, 13]","[20.432692307692307, 19.230769230769234, 20.673076923076923, 17.548076923076923, 18.990384615384613, 3.125]",discrim_faith,416.0,Northern Devon,Year 8,All,All,All,discrim,"
How often do people make you feel bad because of... your religion/faith?"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[73, 98, 107, 102, 36]","[17.548076923076923, 23.557692307692307, 25.721153846153843, 24.519230769230766, 8.653846153846153]",belong_local,416.0,Northern Devon,Year 8,All,All,All,belong_local,"
I feel like I belong in my local area"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[84, 99, 111, 96, 26]","[20.192307692307693, 23.798076923076923, 26.682692307692307, 23.076923076923077, 6.25]",accept_local,416.0,Northern Devon,Year 8,All,All,All,accept,"
People in your local area"
"[1, 2, 3, 4, nan]","['Richer', 'Poorer', 'About the same', ""Don't know"", 'No response']","[82, 96, 109, 107, 22]","[19.71153846153846, 23.076923076923077, 26.201923076923077, 25.721153846153843, 5.288461538461538]",wealth,416.0,Northern Devon,Year 8,All,All,All,wealth,"
Compared to your friends, is your family richer, poorer or about the same?"
"[1, 2, 3, 4, nan]","['Not many', 'Quite a few', 'A lot', 'Unsure', 'No response']","[101, 90, 96, 90, 39]","[24.278846153846153, 21.634615384615387, 23.076923076923077, 21.634615384615387, 9.375]",future_options,416.0,Northern Devon,Year 8,All,All,All,future,"
How many options are available?"
"[1, 2, 3, 4, 5, nan]","['Not interested', 'A little interested', 'Quite interested', 'Very interested', 'Unsure', 'No response']","[79, 82, 67, 69, 73, 46]","[18.990384615384613, 19.71153846153846, 16.105769230769234, 16.58653846153846, 17.548076923076923, 11.057692307692307]",future_interest,416.0,Northern Devon,Year 8,All,All,All,future,"
How do you feel about the options available?"
"[1, 2, 3, 4, 5, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'Unsure', 'No response']","[78, 81, 64, 79, 78, 36]","[18.75, 19.471153846153847, 15.384615384615385, 18.990384615384613, 18.75, 8.653846153846153]",future_support,416.0,Northern Devon,Year 8,All,All,All,future,"
Do you feel (or think you would feel) supported to explore options that
interest you, even if no-one else around you has done them before?"
"[1, 2, 3, 4, nan]","['Often', 'Sometimes', 'Rarely', 'Never', 'No response']","[95, 98, 105, 105, 13]","[22.83653846153846, 23.557692307692307, 25.240384615384613, 25.240384615384613, 3.125]",climate,416.0,Northern Devon,Year 8,All,All,All,climate,"
How often do you worry about the impact of climate change on your future?"
"[1, 2, 3, 4, 5, nan]","['Not at all', 'A little', 'Somewhat', 'Quite a bit', 'A lot', 'No response']","[85, 71, 67, 64, 79, 50]","[20.432692307692307, 17.067307692307693, 16.105769230769234, 15.384615384615385, 18.990384615384613, 12.01923076923077]",social_along,416.0,Northern Devon,Year 8,All,All,All,social,"
I get along with people around me"
"[1, 2, 3, 4, 5, nan]","['Not at all', 'A little', 'Somewhat', 'Quite a bit', 'A lot', 'No response']","[77, 81, 90, 72, 76, 20]","[18.509615384615387, 19.471153846153847, 21.634615384615387, 17.307692307692307, 18.269230769230766, 4.807692307692308]",social_time,416.0,Northern Devon,Year 8,All,All,All,social,"
People like to spend time with me"
"[1, 2, 3, 4, 5, nan]","['Not at all', 'A little', 'Somewhat', 'Quite a bit', 'A lot', 'No response']","[64, 83, 70, 69, 74, 56]","[15.384615384615385, 19.951923076923077, 16.826923076923077, 16.58653846153846, 17.78846153846154, 13.461538461538462]",social_support,416.0,Northern Devon,Year 8,All,All,All,social,"
I feel supported by my friends"
"[1, 2, 3, 4, 5, nan]","['Not at all', 'A little', 'Somewhat', 'Quite a bit', 'A lot', 'No response']","[60, 72, 73, 85, 72, 54]","[14.423076923076922, 17.307692307692307, 17.548076923076923, 20.432692307692307, 17.307692307692307, 12.980769230769232]",social_hard,416.0,Northern Devon,Year 8,All,All,All,social,"
My friends care about me when times are hard (for example if I am sick or have
done something wrong)"
"[1, 2, 3, 4, nan]","['Not at all', '1-3 times in last 6 months', '4+ times in last 6 months', 'A few times a week', 'No response']","[126, 94, 92, 99, 5]","[30.288461538461537, 22.596153846153847, 22.115384615384613, 23.798076923076923, 1.201923076923077]",bully_physical,416.0,Northern Devon,Year 8,All,All,All,bully,"
How often do you get physically bullied at school? By this we mean getting hit,
pushed around, threatened, or having belongings stolen."
"[1, 2, 3, 4, nan]","['Not at all', '1-3 times in last 6 months', '4+ times in last 6 months', 'A few times a week', 'No response']","[93, 100, 107, 98, 18]","[22.355769230769234, 24.03846153846154, 25.721153846153843, 23.557692307692307, 4.326923076923077]",bully_other,416.0,Northern Devon,Year 8,All,All,All,bully,"
How often do you get bullied in other ways at school? By this we mean insults,
slurs, name calling, threats, getting left out or excluded by others, or having
rumours spread about you on purpose."
"[1, 2, 3, 4, nan]","['Not at all', '1-3 times in last 6 months', '4+ times in last 6 months', 'A few times a week', 'No response']","[97, 119, 102, 96, 2]","[23.317307692307693, 28.60576923076923, 24.519230769230766, 23.076923076923077, 0.4807692307692308]",bully_cyber,416.0,Northern Devon,Year 8,All,All,All,bully,"
How often do you get cyber-bullied? By this we mean someone sending mean text
or online messages about you, creating a website making fun of you, posting
pictures that make you look bad online, or sharing them with others."
"[0, 1, nan]","['No', 'Yes', 'No response']","[197, 191, 28]","[47.355769230769226, 45.91346153846153, 6.730769230769231]",peer_talk,416.0,Northern Devon,Year 8,All,All,All,talk,"
Talked about feeling down with... another person your age"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[29, 40, 43, 65, 14]","[15.18324607329843, 20.94240837696335, 22.5130890052356, 34.031413612565444, 7.329842931937172]",peer_talk_listen,191.0,Northern Devon,Year 8,All,All,All,talk,"
Did you feel listened to when you spoke with... another person your age"
"[1, 2, 3, nan]","['Not helpful', 'Somewhat helpful', 'Very helpful', 'No response']","[59, 53, 69, 10]","[30.89005235602094, 27.748691099476442, 36.12565445026178, 5.2356020942408374]",peer_talk_helpful,191.0,Northern Devon,Year 8,All,All,All,talk,"
Did you receive advice that you found helpful from... another person your
age"
"[1, 2, 3, 4, nan]","['Very uncomfortable', 'Uncomfortable', 'Comfortable', 'Very comfortable', 'No response']","[45, 42, 51, 56, 3]","[22.84263959390863, 21.31979695431472, 25.888324873096447, 28.426395939086298, 1.5228426395939088]",peer_talk_if,197.0,Northern Devon,Year 8,All,All,All,talk,"
How would you feel about speaking with... another person your age"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[90, 119, 103, 90, 14]","[21.634615384615387, 28.60576923076923, 24.759615384615387, 21.634615384615387, 3.3653846153846154]",accept_peer,416.0,Northern Devon,Year 8,All,All,All,accept,"
Other people your age"
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[60, 48, 57, 69, 39, 39]","[19.230769230769234, 15.384615384615385, 18.269230769230766, 22.115384615384613, 12.5, 12.5]",autonomy_pressure,312.0,Northern Devon,Year 10,All,All,All,autonomy,"
I feel pressured in my life"
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[59, 72, 59, 63, 52, 7]","[18.91025641025641, 23.076923076923077, 18.91025641025641, 20.192307692307693, 16.666666666666664, 2.2435897435897436]",autonomy_express,312.0,Northern Devon,Year 10,All,All,All,autonomy,"
I generally feel free to express my ideas and opinions"
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[55, 49, 55, 57, 59, 37]","[17.628205128205128, 15.705128205128204, 17.628205128205128, 18.269230769230766, 18.91025641025641, 11.858974358974358]",autonomy_decide,312.0,Northern Devon,Year 10,All,All,All,autonomy,"
I feel like I am free to decide for myself how to live my life"
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[62, 52, 59, 44, 60, 35]","[19.871794871794872, 16.666666666666664, 18.91025641025641, 14.102564102564102, 19.230769230769234, 11.217948717948719]",autonomy_told,312.0,Northern Devon,Year 10,All,All,All,autonomy,"
In my daily life I often have to do what I am told"
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[48, 62, 64, 58, 53, 27]","[15.384615384615385, 19.871794871794872, 20.51282051282051, 18.58974358974359, 16.98717948717949, 8.653846153846153]",autonomy_myself,312.0,Northern Devon,Year 10,All,All,All,autonomy,"
I feel I can pretty much be myself in daily situations"
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[65, 64, 62, 57, 59, 5]","[20.833333333333336, 20.51282051282051, 19.871794871794872, 18.269230769230766, 18.91025641025641, 1.6025641025641024]",autonomy_choice,312.0,Northern Devon,Year 10,All,All,All,autonomy,"
I have enough choice about how I spend my time"
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, nan]","['0 - not at all', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10 - completely', 'No response']","[18, 33, 22, 33, 21, 27, 26, 20, 35, 24, 27, 26]","[5.769230769230769, 10.576923076923077, 7.051282051282051, 10.576923076923077, 6.730769230769231, 8.653846153846153, 8.333333333333332, 6.41025641025641, 11.217948717948719, 7.6923076923076925, 8.653846153846153, 8.333333333333332]",life_satisfaction,312.0,Northern Devon,Year 10,All,All,All,life_satisfaction,"
Overall, how satisfied are you with your life nowadays?"
"[1, 2, 3, 4, 5, nan]","['Almost never', 'Sometimes', 'Often', 'Very often', 'Always', 'No response']","[56, 51, 56, 60, 67, 22]","[17.94871794871795, 16.346153846153847, 17.94871794871795, 19.230769230769234, 21.474358974358974, 7.051282051282051]",optimism_future,312.0,Northern Devon,Year 10,All,All,All,optimism,"
I am optimistic about my future"
"[1, 2, 3, 4, 5, nan]","['Not at all like me', 'A little like me', 'Somewhat like me', 'Mostly like me', 'Very much like me', 'No response']","[53, 71, 62, 59, 64, 3]","[16.98717948717949, 22.756410256410255, 19.871794871794872, 18.91025641025641, 20.51282051282051, 0.9615384615384616]",optimism_best,312.0,Northern Devon,Year 10,All,All,All,optimism,"
In uncertain times, I expect the best"
"[1, 2, 3, 4, 5, nan]","['Not at all like me', 'A little like me', 'Somewhat like me', 'Mostly like me', 'Very much like me', 'No response']","[80, 64, 51, 54, 61, 2]","[25.64102564102564, 20.51282051282051, 16.346153846153847, 17.307692307692307, 19.55128205128205, 0.641025641025641]",optimism_good,312.0,Northern Devon,Year 10,All,All,All,optimism,"
I think good things are going to happen to me"
"[1, 2, 3, 4, 5, nan]","['Not at all like me', 'A little like me', 'Somewhat like me', 'Mostly like me', 'Very much like me', 'No response']","[56, 47, 68, 69, 68, 4]","[17.94871794871795, 15.064102564102564, 21.794871794871796, 22.115384615384613, 21.794871794871796, 1.282051282051282]",optimism_work,312.0,Northern Devon,Year 10,All,All,All,optimism,"
I believe that things will work out, no matter how difficult they seem"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[60, 57, 59, 68, 55, 13]","[19.230769230769234, 18.269230769230766, 18.91025641025641, 21.794871794871796, 17.628205128205128, 4.166666666666666]",wellbeing_optimistic,312.0,Northern Devon,Year 10,All,All,All,wellbeing,"
I've been feeling optimistic about the future"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[59, 51, 63, 62, 64, 13]","[18.91025641025641, 16.346153846153847, 20.192307692307693, 19.871794871794872, 20.51282051282051, 4.166666666666666]",wellbeing_useful,312.0,Northern Devon,Year 10,All,All,All,wellbeing,"
I've been feeling useful"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[68, 60, 49, 45, 64, 26]","[21.794871794871796, 19.230769230769234, 15.705128205128204, 14.423076923076922, 20.51282051282051, 8.333333333333332]",wellbeing_relaxed,312.0,Northern Devon,Year 10,All,All,All,wellbeing,"
I've been feeling relaxed"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[58, 54, 55, 59, 56, 30]","[18.58974358974359, 17.307692307692307, 17.628205128205128, 18.91025641025641, 17.94871794871795, 9.615384615384617]",wellbeing_problems,312.0,Northern Devon,Year 10,All,All,All,wellbeing,"
I've been dealing with problems well"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[61, 56, 75, 58, 61, 1]","[19.55128205128205, 17.94871794871795, 24.03846153846154, 18.58974358974359, 19.55128205128205, 0.3205128205128205]",wellbeing_thinking,312.0,Northern Devon,Year 10,All,All,All,wellbeing,"
I've been thinking clearly"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[49, 59, 44, 61, 70, 29]","[15.705128205128204, 18.91025641025641, 14.102564102564102, 19.55128205128205, 22.435897435897438, 9.294871794871796]",wellbeing_close,312.0,Northern Devon,Year 10,All,All,All,wellbeing,"
I've been feeling close to other people"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[66, 58, 60, 54, 63, 11]","[21.153846153846153, 18.58974358974359, 19.230769230769234, 17.307692307692307, 20.192307692307693, 3.5256410256410255]",wellbeing_mind,312.0,Northern Devon,Year 10,All,All,All,wellbeing,"
I've been able to make up my own mind about things"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[64, 64, 71, 80, 33]","[20.51282051282051, 20.51282051282051, 22.756410256410255, 25.64102564102564, 10.576923076923077]",esteem_satisfied,312.0,Northern Devon,Year 10,All,All,All,esteem,"
On the whole, I am satisfied with myself"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[82, 59, 72, 66, 33]","[26.282051282051285, 18.91025641025641, 23.076923076923077, 21.153846153846153, 10.576923076923077]",esteem_qualities,312.0,Northern Devon,Year 10,All,All,All,esteem,"
I feel that I have a number of good qualities"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[80, 71, 60, 63, 38]","[25.64102564102564, 22.756410256410255, 19.230769230769234, 20.192307692307693, 12.179487179487179]",esteem_well,312.0,Northern Devon,Year 10,All,All,All,esteem,"
I am able to do things as well as most other people"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[67, 70, 77, 71, 27]","[21.474358974358974, 22.435897435897438, 24.679487179487182, 22.756410256410255, 8.653846153846153]",esteem_value,312.0,Northern Devon,Year 10,All,All,All,esteem,"
I am a person of value"
