variable,mean,count,msoa
climate_score,2.3823529411764706,34.0,Torridge 004
social_score,11.363636363636363,22.0,Torridge 004
bully_score,7.612903225806452,31.0,Torridge 004
autonomy_score,17.727272727272727,22.0,Torridge 005
life_satisfaction_score,4.333333333333333,27.0,Torridge 005
optimism_score,12.76923076923077,26.0,Torridge 005
wellbeing_score,20.782608695652176,23.0,Torridge 005
esteem_score,13.333333333333334,15.0,Torridge 005
stress_score,7.55,20.0,Torridge 005
appearance_score,4.769230769230769,26.0,Torridge 005
negative_score,9.31578947368421,19.0,Torridge 005
lonely_score,3.0,28.0,Torridge 005
support_score,5.148148148148148,27.0,Torridge 005
sleep_score,0.5185185185185185,27.0,Torridge 005
physical_score,247.2,25.0,Torridge 005
free_like_score,2.7037037037037037,27.0,Torridge 005
media_score,4.0,29.0,Torridge 005
places_score,2.2962962962962963,27.0,Torridge 005
staff_talk_score,2.58,25.0,Torridge 005
home_talk_score,2.8958333333333335,24.0,Torridge 005
peer_talk_score,2.92,25.0,Torridge 005
talk_score,8.235294117647058,17.0,Torridge 005
accept_score,10.666666666666666,27.0,Torridge 005
school_belong_score,2.88,25.0,Torridge 005
staff_relationship_score,12.75,24.0,Torridge 005
home_relationship_score,12.5,24.0,Torridge 005
home_happy_score,4.6923076923076925,26.0,Torridge 005
local_env_score,15.023809523809515,14.0,Torridge 005
discrim_score,1.0,29.0,Torridge 005
belong_local_score,2.2222222222222223,27.0,Torridge 005
wealth_score,0.4666666666666667,15.0,Torridge 005
future_score,7.1,10.0,Torridge 005
climate_score,2.5,28.0,Torridge 005
social_score,12.411764705882353,17.0,Torridge 005
bully_score,7.285714285714286,28.0,Torridge 005
autonomy_score,18.923076923076923,26.0,Torridge 006
life_satisfaction_score,5.2,35.0,Torridge 006
optimism_score,11.897435897435898,39.0,Torridge 006
wellbeing_score,21.142857142857142,28.0,Torridge 006
esteem_score,12.10344827586207,29.0,Torridge 006
stress_score,8.454545454545455,33.0,Torridge 006
appearance_score,5.684210526315789,38.0,Torridge 006
negative_score,9.2,20.0,Torridge 006
lonely_score,2.58974358974359,39.0,Torridge 006
support_score,4.605263157894737,38.0,Torridge 006
sleep_score,0.475,40.0,Torridge 006
physical_score,285.48387096774195,31.0,Torridge 006
free_like_score,2.8974358974358974,39.0,Torridge 006
media_score,4.435897435897436,39.0,Torridge 006
places_score,2.6,40.0,Torridge 006
staff_talk_score,2.294642857142857,28.0,Torridge 006
home_talk_score,2.3857142857142857,35.0,Torridge 006
peer_talk_score,2.5337837837837838,37.0,Torridge 006
talk_score,7.386363636363637,22.0,Torridge 006
accept_score,10.277777777777779,36.0,Torridge 006
school_belong_score,2.7837837837837838,37.0,Torridge 006
staff_relationship_score,12.393939393939394,33.0,Torridge 006
home_relationship_score,11.344827586206897,29.0,Torridge 006
home_happy_score,5.27027027027027,37.0,Torridge 006
local_env_score,15.187500000000004,16.0,Torridge 006
discrim_score,1.025,40.0,Torridge 006
belong_local_score,2.1666666666666665,36.0,Torridge 006
wealth_score,0.3125,32.0,Torridge 006
future_score,7.09375,16.0,Torridge 006
climate_score,2.3157894736842106,38.0,Torridge 006
social_score,11.741935483870968,31.0,Torridge 006
bully_score,7.405405405405405,37.0,Torridge 006
autonomy_score,18.5,12.0,Torridge 007
life_satisfaction_score,5.407407407407407,27.0,Torridge 007
optimism_score,12.185185185185185,27.0,Torridge 007
wellbeing_score,19.625,16.0,Torridge 007
esteem_score,12.421052631578947,19.0,Torridge 007
stress_score,7.954545454545454,22.0,Torridge 007
appearance_score,4.7,30.0,Torridge 007
negative_score,9.647058823529411,17.0,Torridge 007
lonely_score,3.206896551724138,29.0,Torridge 007
support_score,4.5,30.0,Torridge 007
sleep_score,0.32142857142857145,28.0,Torridge 007
physical_score,279.3103448275862,29.0,Torridge 007
free_like_score,3.48,25.0,Torridge 007
media_score,4.366666666666666,30.0,Torridge 007
places_score,2.533333333333333,30.0,Torridge 007
staff_talk_score,2.5833333333333335,27.0,Torridge 007
home_talk_score,2.875,22.0,Torridge 007
peer_talk_score,2.576923076923077,26.0,Torridge 007
talk_score,7.661764705882353,17.0,Torridge 007
accept_score,9.535714285714286,28.0,Torridge 007
school_belong_score,2.1724137931034484,29.0,Torridge 007
staff_relationship_score,11.416666666666666,24.0,Torridge 007
home_relationship_score,12.421052631578947,19.0,Torridge 007
home_happy_score,4.777777777777778,27.0,Torridge 007
local_env_score,14.562499999999993,16.0,Torridge 007
discrim_score,1.0333333333333334,30.0,Torridge 007
belong_local_score,2.3448275862068964,29.0,Torridge 007
wealth_score,0.3181818181818182,22.0,Torridge 007
future_score,7.136363636363637,11.0,Torridge 007
climate_score,2.6206896551724137,29.0,Torridge 007
social_score,11.647058823529411,17.0,Torridge 007
bully_score,7.7407407407407405,27.0,Torridge 007
autonomy_score,18.526315789473685,19.0,Torridge 008
life_satisfaction_score,4.5,28.0,Torridge 008
optimism_score,11.633333333333333,30.0,Torridge 008
wellbeing_score,19.5,18.0,Torridge 008
esteem_score,12.0,12.0,Torridge 008
stress_score,6.916666666666667,24.0,Torridge 008
appearance_score,5.357142857142857,28.0,Torridge 008
negative_score,10.0,15.0,Torridge 008
lonely_score,3.3225806451612905,31.0,Torridge 008
support_score,4.928571428571429,28.0,Torridge 008
sleep_score,0.7142857142857143,28.0,Torridge 008
physical_score,222.22222222222223,27.0,Torridge 008
free_like_score,3.1666666666666665,30.0,Torridge 008
media_score,3.806451612903226,31.0,Torridge 008
places_score,2.3225806451612905,31.0,Torridge 008
staff_talk_score,2.6538461538461537,26.0,Torridge 008
home_talk_score,2.5833333333333335,27.0,Torridge 008
peer_talk_score,2.939655172413793,29.0,Torridge 008
talk_score,7.821428571428571,21.0,Torridge 008
accept_score,10.037037037037036,27.0,Torridge 008
school_belong_score,2.925925925925926,27.0,Torridge 008
staff_relationship_score,12.521739130434783,23.0,Torridge 008
home_relationship_score,10.791666666666666,24.0,Torridge 008
home_happy_score,3.6666666666666665,30.0,Torridge 008
local_env_score,13.859649122807008,19.0,Torridge 008
discrim_score,1.032258064516129,31.0,Torridge 008
belong_local_score,2.2758620689655173,29.0,Torridge 008
wealth_score,0.25,24.0,Torridge 008
future_score,7.433333333333334,15.0,Torridge 008
climate_score,2.161290322580645,31.0,Torridge 008
social_score,11.391304347826088,23.0,Torridge 008
bully_score,7.827586206896552,29.0,Torridge 008
autonomy_score,17.952380952380953,21.0,Torridge 009
life_satisfaction_score,4.371428571428571,35.0,Torridge 009
optimism_score,12.628571428571428,35.0,Torridge 009
wellbeing_score,20.964285714285715,28.0,Torridge 009
esteem_score,13.0,26.0,Torridge 009
stress_score,8.257142857142858,35.0,Torridge 009
appearance_score,5.921052631578948,38.0,Torridge 009
negative_score,9.052631578947368,19.0,Torridge 009
lonely_score,3.1707317073170733,41.0,Torridge 009
support_score,4.921052631578948,38.0,Torridge 009
sleep_score,0.358974358974359,39.0,Torridge 009
physical_score,271.7647058823529,34.0,Torridge 009
free_like_score,3.1951219512195124,41.0,Torridge 009
media_score,4.076923076923077,39.0,Torridge 009
places_score,2.6097560975609757,41.0,Torridge 009
staff_talk_score,2.357142857142857,35.0,Torridge 009
home_talk_score,2.5,38.0,Torridge 009
peer_talk_score,2.2205882352941178,34.0,Torridge 009
talk_score,7.035714285714286,28.0,Torridge 009
accept_score,10.529411764705882,34.0,Torridge 009
school_belong_score,3.0,37.0,Torridge 009
staff_relationship_score,12.294117647058824,34.0,Torridge 009
home_relationship_score,10.78125,32.0,Torridge 009
home_happy_score,4.435897435897436,39.0,Torridge 009
local_env_score,14.349206349206352,21.0,Torridge 009
discrim_score,1.024390243902439,41.0,Torridge 009
belong_local_score,2.388888888888889,36.0,Torridge 009
wealth_score,0.18518518518518517,27.0,Torridge 009
future_score,7.125,20.0,Torridge 009
climate_score,2.5365853658536586,41.0,Torridge 009
social_score,12.23076923076923,26.0,Torridge 009
bully_score,7.461538461538462,39.0,Torridge 009
