variable,mean,count,msoa,total_pupils,group_n,group_wt_mean,group_wt_std,lower,upper,rag,variable_lab,description
discrim_score,1.0,37.0,North Devon 005,678.0,20.0,1.0147492625368733,0.020541714106175567,0.9942075484306977,1.035290976643049,average,Discrimination,"
Whether young people feel discriminated against"
belong_local_score,2.6129032258064515,31.0,North Devon 005,625.0,20.0,2.3456,0.19026053738039997,2.1553394626196,2.5358605373804,above,Local connection,"
Young people's feelings of belonging in their local area"
wealth_score,0.391304347826087,23.0,North Devon 005,476.0,20.0,0.35714285714285715,0.07913462942572096,0.2780082277171362,0.4362774865685781,average,Relative wealth,"
Whether young people feel their family is richer, poorer or the same as their
friends"
future_score,6.954545454545454,11.0,North Devon 005,222.0,15.0,7.506756756756757,0.5563465223681503,6.950410234388607,8.063103279124908,average,Future opportunities,"
How young people feel regarding the future options for work, education or
training in their local area"
climate_score,2.6285714285714286,35.0,North Devon 005,655.0,20.0,2.4885496183206106,0.17827857312780837,2.310271045192802,2.666828191448419,average,Climate change,"
Worries regarding climate change"
social_score,11.478260869565217,23.0,North Devon 005,441.0,20.0,11.884353741496598,0.4692186420598787,11.41513509943672,12.353572383556477,average,Support from friends,"
The support young people receive from their peers"
bully_score,7.685714285714286,35.0,North Devon 005,643.0,20.0,7.514774494556765,0.3209338895886501,7.193840604968115,7.835708384145415,average,Bullying,"
The frequency with which young people experience different types of bullying"
autonomy_score,17.76923076923077,26.0,North Devon 006,426.0,20.0,17.85211267605634,0.7240076318941591,17.12810504416218,18.5761203079505,average,Autonomy,"
How 'in control' young people feel of their life"
life_satisfaction_score,4.619047619047619,42.0,North Devon 006,617.0,20.0,4.946515397082658,0.47982855277608544,4.466686844306572,5.426343949858744,average,Life satisfaction,"
How satisfied young people feel with their life"
optimism_score,11.64864864864865,37.0,North Devon 006,622.0,20.0,12.069131832797428,0.44645863215727216,11.622673200640156,12.5155904649547,average,Optimism,"
Young people's hopefulness and confidence for the future"
wellbeing_score,21.4,25.0,North Devon 006,466.0,20.0,21.006437768240342,0.939871527800999,20.066566240439343,21.946309296041342,average,Psychological wellbeing,"
How positive and generally happy young people feel regarding their life"
esteem_score,13.666666666666666,24.0,North Devon 006,391.0,19.0,12.741687979539641,0.5879381239360536,12.153749855603587,13.329626103475695,above,Self-esteem,"
How much young people value themselves"
stress_score,8.030303030303031,33.0,North Devon 006,539.0,20.0,7.836734693877551,0.5523650392820009,7.28436965459555,8.389099733159552,average,Stress and coping,"
Managing stress levels and coping with difficulties"
appearance_score,5.297297297297297,37.0,North Devon 006,622.0,20.0,4.963022508038585,0.5967010225969469,4.366321485441638,5.559723530635532,average,Feelings around appearance,"
Young people's feelings around the way that they look"
negative_score,10.458333333333334,24.0,North Devon 006,385.0,20.0,9.774025974025975,0.5763487880119827,9.197677186013992,10.350374762037957,above,Negative affect,"
The frequency with which young people experience emotional difficulties"
lonely_score,3.4047619047619047,42.0,North Devon 006,669.0,20.0,3.0642750373692076,0.30486940665176476,2.759405630717443,3.3691444440209724,above,Loneliness,"
How often young people feel lonely"
support_score,4.947368421052632,38.0,North Devon 006,622.0,20.0,4.863344051446945,0.2824933524489921,4.580850698997953,5.145837403895937,average,Supporting own wellbeing,"
Young people's knowledge on supporting themselves and looking for advice"
sleep_score,0.41025641025641024,39.0,North Devon 006,644.0,20.0,0.4953416149068323,0.09882037305158985,0.39652124185524246,0.5941619879584221,average,Sleep,"
How much sleep young people get"
physical_score,170.0,36.0,North Devon 006,582.0,20.0,245.0,38.13479378364181,206.8652062163582,283.13479378364184,below,Physical activity,"
How physically active young people are"
free_like_score,3.4,40.0,North Devon 006,653.0,20.0,3.0168453292496173,0.25103186372647596,2.7658134655231414,3.2678771929760932,above,Free time,"
How often young people can do things that they like in their free time"
media_score,4.214285714285714,42.0,North Devon 006,673.0,20.0,4.078751857355126,0.5014300921162455,3.5773217652388807,4.580181949471371,average,Social media use,"
How much time young people spend on social media"
places_score,2.5853658536585367,41.0,North Devon 006,664.0,20.0,2.483433734939759,0.16687277202675707,2.316560962913002,2.650306506966516,average,Places to go and things to do,"
Whether young people feel there are places to go and things to do in their
free time"
staff_talk_score,2.717948717948718,39.0,North Devon 006,562.0,20.0,2.4813167259786475,0.1957423260099232,2.2855743999687244,2.6770590519885706,above,NULL,NULL
home_talk_score,2.515625,32.0,North Devon 006,585.0,20.0,2.5547008547008545,0.14688774811201868,2.407813106588836,2.701588602812873,average,NULL,NULL
peer_talk_score,2.5,37.0,North Devon 006,602.0,20.0,2.5336378737541527,0.20968759244042917,2.3239502813137234,2.743325466194582,average,NULL,NULL
talk_score,7.6,25.0,North Devon 006,428.0,20.0,7.533878504672897,0.4005224423593017,7.133356062313595,7.934400947032199,average,Talking about feelings,"
How positively/negatively young people feel about talking with others about
feeling down"
accept_score,9.935483870967742,31.0,North Devon 006,582.0,20.0,10.082474226804123,0.4186347178635218,9.663839508940601,10.501108944667646,average,Acceptance,"
Whether young people feel accepted by different groups of people in their
life"
school_belong_score,2.8285714285714287,35.0,North Devon 006,599.0,20.0,2.954924874791319,0.1983886196098084,2.7565362551815107,3.1533134944011274,average,School connection,"
Feelings of belonging at school"
staff_relationship_score,12.432432432432432,37.0,North Devon 006,575.0,20.0,12.027826086956521,0.5570880606232873,11.470738026333233,12.58491414757981,average,Support from staff,"
The support received from adults at school"
home_relationship_score,13.107142857142858,28.0,North Devon 006,515.0,20.0,12.062135922330096,0.7690831882903442,11.293052734039753,12.83121911062044,above,Support from parents/carers,"
The support received from adults at home"
home_happy_score,5.6571428571428575,35.0,North Devon 006,604.0,20.0,4.940397350993377,0.7549267302738673,4.18547062071951,5.695324081267245,average,Home environment,"
Young people's feelings regarding the home that they live in"
local_env_score,14.999999999999995,19.0,North Devon 006,355.0,20.0,14.885446009389671,0.7627055365027211,14.12274047288695,15.648151545892393,average,Local environment,"
How young people feel regarding the area where they live"
discrim_score,1.0,42.0,North Devon 006,678.0,20.0,1.0147492625368733,0.020541714106175567,0.9942075484306977,1.035290976643049,average,Discrimination,"
Whether young people feel discriminated against"
belong_local_score,2.526315789473684,38.0,North Devon 006,625.0,20.0,2.3456,0.19026053738039997,2.1553394626196,2.5358605373804,average,Local connection,"
Young people's feelings of belonging in their local area"
wealth_score,0.36,25.0,North Devon 006,476.0,20.0,0.35714285714285715,0.07913462942572096,0.2780082277171362,0.4362774865685781,average,Relative wealth,"
Whether young people feel their family is richer, poorer or the same as their
friends"
future_score,7.9375,16.0,North Devon 006,222.0,15.0,7.506756756756757,0.5563465223681503,6.950410234388607,8.063103279124908,average,Future opportunities,"
How young people feel regarding the future options for work, education or
training in their local area"
climate_score,2.55,40.0,North Devon 006,655.0,20.0,2.4885496183206106,0.17827857312780837,2.310271045192802,2.666828191448419,average,Climate change,"
Worries regarding climate change"
social_score,11.32,25.0,North Devon 006,441.0,20.0,11.884353741496598,0.4692186420598787,11.41513509943672,12.353572383556477,below,Support from friends,"
The support young people receive from their peers"
bully_score,7.487804878048781,41.0,North Devon 006,643.0,20.0,7.514774494556765,0.3209338895886501,7.193840604968115,7.835708384145415,average,Bullying,"
The frequency with which young people experience different types of bullying"
autonomy_score,18.08,25.0,North Devon 007,426.0,20.0,17.85211267605634,0.7240076318941591,17.12810504416218,18.5761203079505,average,Autonomy,"
How 'in control' young people feel of their life"
life_satisfaction_score,5.068181818181818,44.0,North Devon 007,617.0,20.0,4.946515397082658,0.47982855277608544,4.466686844306572,5.426343949858744,average,Life satisfaction,"
How satisfied young people feel with their life"
optimism_score,11.818181818181818,44.0,North Devon 007,622.0,20.0,12.069131832797428,0.44645863215727216,11.622673200640156,12.5155904649547,average,Optimism,"
Young people's hopefulness and confidence for the future"
wellbeing_score,21.1,30.0,North Devon 007,466.0,20.0,21.006437768240342,0.939871527800999,20.066566240439343,21.946309296041342,average,Psychological wellbeing,"
How positive and generally happy young people feel regarding their life"
esteem_score,13.0,31.0,North Devon 007,391.0,19.0,12.741687979539641,0.5879381239360536,12.153749855603587,13.329626103475695,average,Self-esteem,"
How much young people value themselves"
stress_score,8.542857142857143,35.0,North Devon 007,539.0,20.0,7.836734693877551,0.5523650392820009,7.28436965459555,8.389099733159552,above,Stress and coping,"
Managing stress levels and coping with difficulties"
appearance_score,4.560975609756097,41.0,North Devon 007,622.0,20.0,4.963022508038585,0.5967010225969469,4.366321485441638,5.559723530635532,average,Feelings around appearance,"
Young people's feelings around the way that they look"
negative_score,10.518518518518519,27.0,North Devon 007,385.0,20.0,9.774025974025975,0.5763487880119827,9.197677186013992,10.350374762037957,above,Negative affect,"
The frequency with which young people experience emotional difficulties"
lonely_score,3.238095238095238,42.0,North Devon 007,669.0,20.0,3.0642750373692076,0.30486940665176476,2.759405630717443,3.3691444440209724,average,Loneliness,"
How often young people feel lonely"
support_score,4.690476190476191,42.0,North Devon 007,622.0,20.0,4.863344051446945,0.2824933524489921,4.580850698997953,5.145837403895937,average,Supporting own wellbeing,"
Young people's knowledge on supporting themselves and looking for advice"
sleep_score,0.42857142857142855,42.0,North Devon 007,644.0,20.0,0.4953416149068323,0.09882037305158985,0.39652124185524246,0.5941619879584221,average,Sleep,"
How much sleep young people get"
physical_score,280.7692307692308,39.0,North Devon 007,582.0,20.0,245.0,38.13479378364181,206.8652062163582,283.13479378364184,average,Physical activity,"
How physically active young people are"
free_like_score,3.048780487804878,41.0,North Devon 007,653.0,20.0,3.0168453292496173,0.25103186372647596,2.7658134655231414,3.2678771929760932,average,Free time,"
How often young people can do things that they like in their free time"
media_score,3.953488372093023,43.0,North Devon 007,673.0,20.0,4.078751857355126,0.5014300921162455,3.5773217652388807,4.580181949471371,average,Social media use,"
How much time young people spend on social media"
places_score,2.477272727272727,44.0,North Devon 007,664.0,20.0,2.483433734939759,0.16687277202675707,2.316560962913002,2.650306506966516,average,Places to go and things to do,"
Whether young people feel there are places to go and things to do in their
free time"
staff_talk_score,2.551282051282051,39.0,North Devon 007,562.0,20.0,2.4813167259786475,0.1957423260099232,2.2855743999687244,2.6770590519885706,average,NULL,NULL
home_talk_score,2.6136363636363638,33.0,North Devon 007,585.0,20.0,2.5547008547008545,0.14688774811201868,2.407813106588836,2.701588602812873,average,NULL,NULL
peer_talk_score,2.58125,40.0,North Devon 007,602.0,20.0,2.5336378737541527,0.20968759244042917,2.3239502813137234,2.743325466194582,average,NULL,NULL
talk_score,7.951923076923077,26.0,North Devon 007,428.0,20.0,7.533878504672897,0.4005224423593017,7.133356062313595,7.934400947032199,above,Talking about feelings,"
How positively/negatively young people feel about talking with others about
feeling down"
accept_score,10.075,40.0,North Devon 007,582.0,20.0,10.082474226804123,0.4186347178635218,9.663839508940601,10.501108944667646,average,Acceptance,"
Whether young people feel accepted by different groups of people in their
life"
school_belong_score,3.075,40.0,North Devon 007,599.0,20.0,2.954924874791319,0.1983886196098084,2.7565362551815107,3.1533134944011274,average,School connection,"
Feelings of belonging at school"
staff_relationship_score,11.333333333333334,33.0,North Devon 007,575.0,20.0,12.027826086956521,0.5570880606232873,11.470738026333233,12.58491414757981,below,Support from staff,"
The support received from adults at school"
home_relationship_score,11.825,40.0,North Devon 007,515.0,20.0,12.062135922330096,0.7690831882903442,11.293052734039753,12.83121911062044,average,Support from parents/carers,"
The support received from adults at home"
home_happy_score,3.975,40.0,North Devon 007,604.0,20.0,4.940397350993377,0.7549267302738673,4.18547062071951,5.695324081267245,below,Home environment,"
Young people's feelings regarding the home that they live in"
local_env_score,15.651515151515158,22.0,North Devon 007,355.0,20.0,14.885446009389671,0.7627055365027211,14.12274047288695,15.648151545892393,above,Local environment,"
How young people feel regarding the area where they live"
discrim_score,1.0,44.0,North Devon 007,678.0,20.0,1.0147492625368733,0.020541714106175567,0.9942075484306977,1.035290976643049,average,Discrimination,"
Whether young people feel discriminated against"
belong_local_score,2.4634146341463414,41.0,North Devon 007,625.0,20.0,2.3456,0.19026053738039997,2.1553394626196,2.5358605373804,average,Local connection,"
Young people's feelings of belonging in their local area"
wealth_score,0.38235294117647056,34.0,North Devon 007,476.0,20.0,0.35714285714285715,0.07913462942572096,0.2780082277171362,0.4362774865685781,average,Relative wealth,"
Whether young people feel their family is richer, poorer or the same as their
friends"
future_score,7.8076923076923075,13.0,North Devon 007,222.0,15.0,7.506756756756757,0.5563465223681503,6.950410234388607,8.063103279124908,average,Future opportunities,"
How young people feel regarding the future options for work, education or
training in their local area"
climate_score,2.4318181818181817,44.0,North Devon 007,655.0,20.0,2.4885496183206106,0.17827857312780837,2.310271045192802,2.666828191448419,average,Climate change,"
Worries regarding climate change"
social_score,11.428571428571429,28.0,North Devon 007,441.0,20.0,11.884353741496598,0.4692186420598787,11.41513509943672,12.353572383556477,average,Support from friends,"
The support young people receive from their peers"
bully_score,7.285714285714286,42.0,North Devon 007,643.0,20.0,7.514774494556765,0.3209338895886501,7.193840604968115,7.835708384145415,average,Bullying,"
The frequency with which young people experience different types of bullying"
autonomy_score,17.869565217391305,23.0,North Devon 008,426.0,20.0,17.85211267605634,0.7240076318941591,17.12810504416218,18.5761203079505,average,Autonomy,"
How 'in control' young people feel of their life"
life_satisfaction_score,4.90625,32.0,North Devon 008,617.0,20.0,4.946515397082658,0.47982855277608544,4.466686844306572,5.426343949858744,average,Life satisfaction,"
How satisfied young people feel with their life"
optimism_score,12.633333333333333,30.0,North Devon 008,622.0,20.0,12.069131832797428,0.44645863215727216,11.622673200640156,12.5155904649547,above,Optimism,"
Young people's hopefulness and confidence for the future"
wellbeing_score,20.076923076923077,26.0,North Devon 008,466.0,20.0,21.006437768240342,0.939871527800999,20.066566240439343,21.946309296041342,average,Psychological wellbeing,"
How positive and generally happy young people feel regarding their life"
esteem_score,12.26086956521739,23.0,North Devon 008,391.0,19.0,12.741687979539641,0.5879381239360536,12.153749855603587,13.329626103475695,average,Self-esteem,"
How much young people value themselves"
stress_score,7.423076923076923,26.0,North Devon 008,539.0,20.0,7.836734693877551,0.5523650392820009,7.28436965459555,8.389099733159552,average,Stress and coping,"
Managing stress levels and coping with difficulties"
appearance_score,3.8823529411764706,34.0,North Devon 008,622.0,20.0,4.963022508038585,0.5967010225969469,4.366321485441638,5.559723530635532,below,Feelings around appearance,"
Young people's feelings around the way that they look"
negative_score,9.454545454545455,22.0,North Devon 008,385.0,20.0,9.774025974025975,0.5763487880119827,9.197677186013992,10.350374762037957,average,Negative affect,"
The frequency with which young people experience emotional difficulties"
lonely_score,2.3714285714285714,35.0,North Devon 008,669.0,20.0,3.0642750373692076,0.30486940665176476,2.759405630717443,3.3691444440209724,below,Loneliness,"
How often young people feel lonely"
support_score,5.233333333333333,30.0,North Devon 008,622.0,20.0,4.863344051446945,0.2824933524489921,4.580850698997953,5.145837403895937,above,Supporting own wellbeing,"
Young people's knowledge on supporting themselves and looking for advice"
sleep_score,0.5882352941176471,34.0,North Devon 008,644.0,20.0,0.4953416149068323,0.09882037305158985,0.39652124185524246,0.5941619879584221,average,Sleep,"
How much sleep young people get"
physical_score,249.375,32.0,North Devon 008,582.0,20.0,245.0,38.13479378364181,206.8652062163582,283.13479378364184,average,Physical activity,"
How physically active young people are"
free_like_score,2.878787878787879,33.0,North Devon 008,653.0,20.0,3.0168453292496173,0.25103186372647596,2.7658134655231414,3.2678771929760932,average,Free time,"
How often young people can do things that they like in their free time"
media_score,4.914285714285715,35.0,North Devon 008,673.0,20.0,4.078751857355126,0.5014300921162455,3.5773217652388807,4.580181949471371,above,Social media use,"
How much time young people spend on social media"
places_score,2.4285714285714284,35.0,North Devon 008,664.0,20.0,2.483433734939759,0.16687277202675707,2.316560962913002,2.650306506966516,average,Places to go and things to do,"
Whether young people feel there are places to go and things to do in their
free time"
staff_talk_score,2.6416666666666666,30.0,North Devon 008,562.0,20.0,2.4813167259786475,0.1957423260099232,2.2855743999687244,2.6770590519885706,average,NULL,NULL
home_talk_score,2.7890625,32.0,North Devon 008,585.0,20.0,2.5547008547008545,0.14688774811201868,2.407813106588836,2.701588602812873,above,NULL,NULL
peer_talk_score,2.596774193548387,31.0,North Devon 008,602.0,20.0,2.5336378737541527,0.20968759244042917,2.3239502813137234,2.743325466194582,average,NULL,NULL
talk_score,8.06,25.0,North Devon 008,428.0,20.0,7.533878504672897,0.4005224423593017,7.133356062313595,7.934400947032199,above,Talking about feelings,"
How positively/negatively young people feel about talking with others about
feeling down"
accept_score,10.2,30.0,North Devon 008,582.0,20.0,10.082474226804123,0.4186347178635218,9.663839508940601,10.501108944667646,average,Acceptance,"
Whether young people feel accepted by different groups of people in their
life"
school_belong_score,3.0,30.0,North Devon 008,599.0,20.0,2.954924874791319,0.1983886196098084,2.7565362551815107,3.1533134944011274,average,School connection,"
Feelings of belonging at school"
staff_relationship_score,12.464285714285714,28.0,North Devon 008,575.0,20.0,12.027826086956521,0.5570880606232873,11.470738026333233,12.58491414757981,average,Support from staff,"
The support received from adults at school"
home_relationship_score,12.0,26.0,North Devon 008,515.0,20.0,12.062135922330096,0.7690831882903442,11.293052734039753,12.83121911062044,average,Support from parents/carers,"
The support received from adults at home"
home_happy_score,5.290322580645161,31.0,North Devon 008,604.0,20.0,4.940397350993377,0.7549267302738673,4.18547062071951,5.695324081267245,average,Home environment,"
Young people's feelings regarding the home that they live in"
local_env_score,15.407407407407412,18.0,North Devon 008,355.0,20.0,14.885446009389671,0.7627055365027211,14.12274047288695,15.648151545892393,average,Local environment,"
How young people feel regarding the area where they live"
discrim_score,1.0285714285714285,35.0,North Devon 008,678.0,20.0,1.0147492625368733,0.020541714106175567,0.9942075484306977,1.035290976643049,average,Discrimination,"
Whether young people feel discriminated against"
belong_local_score,2.235294117647059,34.0,North Devon 008,625.0,20.0,2.3456,0.19026053738039997,2.1553394626196,2.5358605373804,average,Local connection,"
Young people's feelings of belonging in their local area"
wealth_score,0.5,26.0,North Devon 008,476.0,20.0,0.35714285714285715,0.07913462942572096,0.2780082277171362,0.4362774865685781,above,Relative wealth,"
Whether young people feel their family is richer, poorer or the same as their
friends"
future_score,7.6,10.0,North Devon 008,222.0,15.0,7.506756756756757,0.5563465223681503,6.950410234388607,8.063103279124908,average,Future opportunities,"
How young people feel regarding the future options for work, education or
training in their local area"
climate_score,2.323529411764706,34.0,North Devon 008,655.0,20.0,2.4885496183206106,0.17827857312780837,2.310271045192802,2.666828191448419,average,Climate change,"
Worries regarding climate change"
social_score,12.5,22.0,North Devon 008,441.0,20.0,11.884353741496598,0.4692186420598787,11.41513509943672,12.353572383556477,above,Support from friends,"
The support young people receive from their peers"
bully_score,7.545454545454546,33.0,North Devon 008,643.0,20.0,7.514774494556765,0.3209338895886501,7.193840604968115,7.835708384145415,average,Bullying,"
The frequency with which young people experience different types of bullying"
autonomy_score,17.76923076923077,13.0,North Devon 009,426.0,20.0,17.85211267605634,0.7240076318941591,17.12810504416218,18.5761203079505,average,Autonomy,"
How 'in control' young people feel of their life"
life_satisfaction_score,5.944444444444445,18.0,North Devon 009,617.0,20.0,4.946515397082658,0.47982855277608544,4.466686844306572,5.426343949858744,above,Life satisfaction,"
How satisfied young people feel with their life"
optimism_score,11.823529411764707,17.0,North Devon 009,622.0,20.0,12.069131832797428,0.44645863215727216,11.622673200640156,12.5155904649547,average,Optimism,"
Young people's hopefulness and confidence for the future"
wellbeing_score,20.333333333333332,15.0,North Devon 009,466.0,20.0,21.006437768240342,0.939871527800999,20.066566240439343,21.946309296041342,average,Psychological wellbeing,"
How positive and generally happy young people feel regarding their life"
esteem_score,NULL,NULL,North Devon 009,391.0,19.0,12.741687979539641,0.5879381239360536,12.153749855603587,13.329626103475695,nan,Self-esteem,"
How much young people value themselves"
stress_score,6.294117647058823,17.0,North Devon 009,539.0,20.0,7.836734693877551,0.5523650392820009,7.28436965459555,8.389099733159552,below,Stress and coping,"
Managing stress levels and coping with difficulties"
appearance_score,5.666666666666667,18.0,North Devon 009,622.0,20.0,4.963022508038585,0.5967010225969469,4.366321485441638,5.559723530635532,above,Feelings around appearance,"
Young people's feelings around the way that they look"
negative_score,10.333333333333334,15.0,North Devon 009,385.0,20.0,9.774025974025975,0.5763487880119827,9.197677186013992,10.350374762037957,average,Negative affect,"
The frequency with which young people experience emotional difficulties"
lonely_score,2.4210526315789473,19.0,North Devon 009,669.0,20.0,3.0642750373692076,0.30486940665176476,2.759405630717443,3.3691444440209724,below,Loneliness,"
How often young people feel lonely"
support_score,4.473684210526316,19.0,North Devon 009,622.0,20.0,4.863344051446945,0.2824933524489921,4.580850698997953,5.145837403895937,below,Supporting own wellbeing,"
Young people's knowledge on supporting themselves and looking for advice"
sleep_score,0.47368421052631576,19.0,North Devon 009,644.0,20.0,0.4953416149068323,0.09882037305158985,0.39652124185524246,0.5941619879584221,average,Sleep,"
How much sleep young people get"
physical_score,213.52941176470588,17.0,North Devon 009,582.0,20.0,245.0,38.13479378364181,206.8652062163582,283.13479378364184,average,Physical activity,"
How physically active young people are"
free_like_score,3.388888888888889,18.0,North Devon 009,653.0,20.0,3.0168453292496173,0.25103186372647596,2.7658134655231414,3.2678771929760932,above,Free time,"
How often young people can do things that they like in their free time"
media_score,4.894736842105263,19.0,North Devon 009,673.0,20.0,4.078751857355126,0.5014300921162455,3.5773217652388807,4.580181949471371,above,Social media use,"
How much time young people spend on social media"
places_score,2.4444444444444446,18.0,North Devon 009,664.0,20.0,2.483433734939759,0.16687277202675707,2.316560962913002,2.650306506966516,average,Places to go and things to do,"
Whether young people feel there are places to go and things to do in their
free time"
staff_talk_score,2.5833333333333335,15.0,North Devon 009,562.0,20.0,2.4813167259786475,0.1957423260099232,2.2855743999687244,2.6770590519885706,average,NULL,NULL
home_talk_score,2.5294117647058822,17.0,North Devon 009,585.0,20.0,2.5547008547008545,0.14688774811201868,2.407813106588836,2.701588602812873,average,NULL,NULL
peer_talk_score,2.25,16.0,North Devon 009,602.0,20.0,2.5336378737541527,0.20968759244042917,2.3239502813137234,2.743325466194582,below,NULL,NULL
talk_score,7.0,11.0,North Devon 009,428.0,20.0,7.533878504672897,0.4005224423593017,7.133356062313595,7.934400947032199,below,Talking about feelings,"
How positively/negatively young people feel about talking with others about
feeling down"
accept_score,9.764705882352942,17.0,North Devon 009,582.0,20.0,10.082474226804123,0.4186347178635218,9.663839508940601,10.501108944667646,average,Acceptance,"
Whether young people feel accepted by different groups of people in their
life"
school_belong_score,3.0,15.0,North Devon 009,599.0,20.0,2.954924874791319,0.1983886196098084,2.7565362551815107,3.1533134944011274,average,School connection,"
Feelings of belonging at school"
staff_relationship_score,9.333333333333334,15.0,North Devon 009,575.0,20.0,12.027826086956521,0.5570880606232873,11.470738026333233,12.58491414757981,below,Support from staff,"
The support received from adults at school"
home_relationship_score,13.125,16.0,North Devon 009,515.0,20.0,12.062135922330096,0.7690831882903442,11.293052734039753,12.83121911062044,above,Support from parents/carers,"
The support received from adults at home"
home_happy_score,4.588235294117647,17.0,North Devon 009,604.0,20.0,4.940397350993377,0.7549267302738673,4.18547062071951,5.695324081267245,average,Home environment,"
Young people's feelings regarding the home that they live in"
local_env_score,13.857142857142861,14.0,North Devon 009,355.0,20.0,14.885446009389671,0.7627055365027211,14.12274047288695,15.648151545892393,below,Local environment,"
How young people feel regarding the area where they live"
discrim_score,1.0526315789473684,19.0,North Devon 009,678.0,20.0,1.0147492625368733,0.020541714106175567,0.9942075484306977,1.035290976643049,above,Discrimination,"
Whether young people feel discriminated against"
belong_local_score,2.611111111111111,18.0,North Devon 009,625.0,20.0,2.3456,0.19026053738039997,2.1553394626196,2.5358605373804,above,Local connection,"
Young people's feelings of belonging in their local area"
wealth_score,0.42857142857142855,14.0,North Devon 009,476.0,20.0,0.35714285714285715,0.07913462942572096,0.2780082277171362,0.4362774865685781,average,Relative wealth,"
Whether young people feel their family is richer, poorer or the same as their
friends"
future_score,NULL,NULL,North Devon 009,222.0,15.0,7.506756756756757,0.5563465223681503,6.950410234388607,8.063103279124908,nan,Future opportunities,"
How young people feel regarding the future options for work, education or
training in their local area"
climate_score,2.3157894736842106,19.0,North Devon 009,655.0,20.0,2.4885496183206106,0.17827857312780837,2.310271045192802,2.666828191448419,average,Climate change,"
Worries regarding climate change"
social_score,11.3125,16.0,North Devon 009,441.0,20.0,11.884353741496598,0.4692186420598787,11.41513509943672,12.353572383556477,below,Support from friends,"
The support young people receive from their peers"
bully_score,7.2631578947368425,19.0,North Devon 009,643.0,20.0,7.514774494556765,0.3209338895886501,7.193840604968115,7.835708384145415,average,Bullying,"
The frequency with which young people experience different types of bullying"
autonomy_score,17.64516129032258,31.0,North Devon 010,426.0,20.0,17.85211267605634,0.7240076318941591,17.12810504416218,18.5761203079505,average,Autonomy,"
How 'in control' young people feel of their life"
life_satisfaction_score,4.368421052631579,38.0,North Devon 010,617.0,20.0,4.946515397082658,0.47982855277608544,4.466686844306572,5.426343949858744,below,Life satisfaction,"
How satisfied young people feel with their life"
optimism_score,12.324324324324325,37.0,North Devon 010,622.0,20.0,12.069131832797428,0.44645863215727216,11.622673200640156,12.5155904649547,average,Optimism,"
Young people's hopefulness and confidence for the future"
wellbeing_score,22.484848484848484,33.0,North Devon 010,466.0,20.0,21.006437768240342,0.939871527800999,20.066566240439343,21.946309296041342,above,Psychological wellbeing,"
How positive and generally happy young people feel regarding their life"
esteem_score,13.105263157894736,19.0,North Devon 010,391.0,19.0,12.741687979539641,0.5879381239360536,12.153749855603587,13.329626103475695,average,Self-esteem,"
How much young people value themselves"
stress_score,8.441176470588236,34.0,North Devon 010,539.0,20.0,7.836734693877551,0.5523650392820009,7.28436965459555,8.389099733159552,above,Stress and coping,"
Managing stress levels and coping with difficulties"
appearance_score,4.666666666666667,36.0,North Devon 010,622.0,20.0,4.963022508038585,0.5967010225969469,4.366321485441638,5.559723530635532,average,Feelings around appearance,"
Young people's feelings around the way that they look"
negative_score,9.25,24.0,North Devon 010,385.0,20.0,9.774025974025975,0.5763487880119827,9.197677186013992,10.350374762037957,average,Negative affect,"
The frequency with which young people experience emotional difficulties"
lonely_score,3.0789473684210527,38.0,North Devon 010,669.0,20.0,3.0642750373692076,0.30486940665176476,2.759405630717443,3.3691444440209724,average,Loneliness,"
How often young people feel lonely"
support_score,5.2,35.0,North Devon 010,622.0,20.0,4.863344051446945,0.2824933524489921,4.580850698997953,5.145837403895937,above,Supporting own wellbeing,"
Young people's knowledge on supporting themselves and looking for advice"
sleep_score,0.5789473684210527,38.0,North Devon 010,644.0,20.0,0.4953416149068323,0.09882037305158985,0.39652124185524246,0.5941619879584221,average,Sleep,"
How much sleep young people get"
physical_score,239.16666666666666,36.0,North Devon 010,582.0,20.0,245.0,38.13479378364181,206.8652062163582,283.13479378364184,average,Physical activity,"
How physically active young people are"
free_like_score,2.6216216216216215,37.0,North Devon 010,653.0,20.0,3.0168453292496173,0.25103186372647596,2.7658134655231414,3.2678771929760932,below,Free time,"
How often young people can do things that they like in their free time"
media_score,4.375,40.0,North Devon 010,673.0,20.0,4.078751857355126,0.5014300921162455,3.5773217652388807,4.580181949471371,average,Social media use,"
How much time young people spend on social media"
places_score,2.725,40.0,North Devon 010,664.0,20.0,2.483433734939759,0.16687277202675707,2.316560962913002,2.650306506966516,above,Places to go and things to do,"
Whether young people feel there are places to go and things to do in their
free time"
staff_talk_score,2.1875,32.0,North Devon 010,562.0,20.0,2.4813167259786475,0.1957423260099232,2.2855743999687244,2.6770590519885706,below,NULL,NULL
home_talk_score,2.4166666666666665,33.0,North Devon 010,585.0,20.0,2.5547008547008545,0.14688774811201868,2.407813106588836,2.701588602812873,average,NULL,NULL
peer_talk_score,2.4545454545454546,33.0,North Devon 010,602.0,20.0,2.5336378737541527,0.20968759244042917,2.3239502813137234,2.743325466194582,average,NULL,NULL
